"parents","n","labels","id"
"Argentina",142,"Action","Argentina  -  Action"
"Argentina",101,"Adventure","Argentina  -  Adventure"
"Argentina",51,"Animation","Argentina  -  Animation"
"Argentina",7,"Biography","Argentina  -  Biography"
"Argentina",170,"Comedy","Argentina  -  Comedy"
"Argentina",133,"Crime","Argentina  -  Crime"
"Argentina",18,"Documentary","Argentina  -  Documentary"
"Argentina",367,"Drama","Argentina  -  Drama"
"Argentina",17,"Family","Argentina  -  Family"
"Argentina",28,"Fantasy","Argentina  -  Fantasy"
"Argentina",3,"Film Noir","Argentina  -  Film Noir"
"Argentina",2,"History","Argentina  -  History"
"Argentina",34,"Horror","Argentina  -  Horror"
"Argentina",35,"Music","Argentina  -  Music"
"Argentina",64,"Mystery","Argentina  -  Mystery"
"Argentina",108,"Romance","Argentina  -  Romance"
"Argentina",14,"Sci Fi","Argentina  -  Sci Fi"
"Argentina",13,"Sport","Argentina  -  Sport"
"Argentina",81,"Thriller","Argentina  -  Thriller"
"Argentina",3,"War","Argentina  -  War"
"Argentina",8,"Western","Argentina  -  Western"
"Australia",198,"Action","Australia  -  Action"
"Australia",1,"Adult","Australia  -  Adult"
"Australia",137,"Adventure","Australia  -  Adventure"
"Australia",53,"Animation","Australia  -  Animation"
"Australia",14,"Biography","Australia  -  Biography"
"Australia",193,"Comedy","Australia  -  Comedy"
"Australia",141,"Crime","Australia  -  Crime"
"Australia",37,"Documentary","Australia  -  Documentary"
"Australia",279,"Drama","Australia  -  Drama"
"Australia",41,"Family","Australia  -  Family"
"Australia",52,"Fantasy","Australia  -  Fantasy"
"Australia",3,"Film Noir","Australia  -  Film Noir"
"Australia",11,"Game Show","Australia  -  Game Show"
"Australia",5,"History","Australia  -  History"
"Australia",20,"Horror","Australia  -  Horror"
"Australia",1,"Music","Australia  -  Music"
"Australia",64,"Mystery","Australia  -  Mystery"
"Australia",30,"Reality TV","Australia  -  Reality TV"
"Australia",85,"Romance","Australia  -  Romance"
"Australia",48,"Sci Fi","Australia  -  Sci Fi"
"Australia",14,"Sport","Australia  -  Sport"
"Australia",69,"Thriller","Australia  -  Thriller"
"Australia",7,"War","Australia  -  War"
"Australia",6,"Western","Australia  -  Western"
"Austria",207,"Action","Austria  -  Action"
"Austria",128,"Adventure","Austria  -  Adventure"
"Austria",37,"Animation","Austria  -  Animation"
"Austria",13,"Biography","Austria  -  Biography"
"Austria",185,"Comedy","Austria  -  Comedy"
"Austria",156,"Crime","Austria  -  Crime"
"Austria",26,"Documentary","Austria  -  Documentary"
"Austria",322,"Drama","Austria  -  Drama"
"Austria",42,"Family","Austria  -  Family"
"Austria",60,"Fantasy","Austria  -  Fantasy"
"Austria",4,"Film Noir","Austria  -  Film Noir"
"Austria",9,"Game Show","Austria  -  Game Show"
"Austria",5,"History","Austria  -  History"
"Austria",38,"Horror","Austria  -  Horror"
"Austria",4,"Music","Austria  -  Music"
"Austria",62,"Mystery","Austria  -  Mystery"
"Austria",13,"Reality TV","Austria  -  Reality TV"
"Austria",87,"Romance","Austria  -  Romance"
"Austria",18,"Sci Fi","Austria  -  Sci Fi"
"Austria",17,"Sport","Austria  -  Sport"
"Austria",71,"Thriller","Austria  -  Thriller"
"Austria",4,"War","Austria  -  War"
"Austria",6,"Western","Austria  -  Western"
"Bahamas",177,"Action","Bahamas  -  Action"
"Bahamas",104,"Adventure","Bahamas  -  Adventure"
"Bahamas",76,"Animation","Bahamas  -  Animation"
"Bahamas",8,"Biography","Bahamas  -  Biography"
"Bahamas",179,"Comedy","Bahamas  -  Comedy"
"Bahamas",134,"Crime","Bahamas  -  Crime"
"Bahamas",21,"Documentary","Bahamas  -  Documentary"
"Bahamas",278,"Drama","Bahamas  -  Drama"
"Bahamas",52,"Family","Bahamas  -  Family"
"Bahamas",36,"Fantasy","Bahamas  -  Fantasy"
"Bahamas",2,"Film Noir","Bahamas  -  Film Noir"
"Bahamas",10,"Game Show","Bahamas  -  Game Show"
"Bahamas",34,"Horror","Bahamas  -  Horror"
"Bahamas",2,"Music","Bahamas  -  Music"
"Bahamas",50,"Mystery","Bahamas  -  Mystery"
"Bahamas",13,"Reality TV","Bahamas  -  Reality TV"
"Bahamas",74,"Romance","Bahamas  -  Romance"
"Bahamas",24,"Sci Fi","Bahamas  -  Sci Fi"
"Bahamas",2,"Short","Bahamas  -  Short"
"Bahamas",10,"Sport","Bahamas  -  Sport"
"Bahamas",103,"Thriller","Bahamas  -  Thriller"
"Bahamas",4,"War","Bahamas  -  War"
"Bahamas",6,"Western","Bahamas  -  Western"
"Bahrain",217,"Action","Bahrain  -  Action"
"Bahrain",114,"Adventure","Bahrain  -  Adventure"
"Bahrain",35,"Animation","Bahrain  -  Animation"
"Bahrain",14,"Biography","Bahrain  -  Biography"
"Bahrain",156,"Comedy","Bahrain  -  Comedy"
"Bahrain",147,"Crime","Bahrain  -  Crime"
"Bahrain",18,"Documentary","Bahrain  -  Documentary"
"Bahrain",339,"Drama","Bahrain  -  Drama"
"Bahrain",18,"Family","Bahrain  -  Family"
"Bahrain",39,"Fantasy","Bahrain  -  Fantasy"
"Bahrain",3,"Film Noir","Bahrain  -  Film Noir"
"Bahrain",12,"Game Show","Bahrain  -  Game Show"
"Bahrain",2,"History","Bahrain  -  History"
"Bahrain",36,"Horror","Bahrain  -  Horror"
"Bahrain",1,"Music","Bahrain  -  Music"
"Bahrain",1,"Musical","Bahrain  -  Musical"
"Bahrain",57,"Mystery","Bahrain  -  Mystery"
"Bahrain",17,"Reality TV","Bahrain  -  Reality TV"
"Bahrain",88,"Romance","Bahrain  -  Romance"
"Bahrain",23,"Sci Fi","Bahrain  -  Sci Fi"
"Bahrain",8,"Sport","Bahrain  -  Sport"
"Bahrain",80,"Thriller","Bahrain  -  Thriller"
"Bahrain",2,"War","Bahrain  -  War"
"Bahrain",4,"Western","Bahrain  -  Western"
"Bangladesh",243,"Action","Bangladesh  -  Action"
"Bangladesh",91,"Adventure","Bangladesh  -  Adventure"
"Bangladesh",31,"Animation","Bangladesh  -  Animation"
"Bangladesh",3,"Biography","Bangladesh  -  Biography"
"Bangladesh",183,"Comedy","Bangladesh  -  Comedy"
"Bangladesh",180,"Crime","Bangladesh  -  Crime"
"Bangladesh",10,"Documentary","Bangladesh  -  Documentary"
"Bangladesh",373,"Drama","Bangladesh  -  Drama"
"Bangladesh",14,"Family","Bangladesh  -  Family"
"Bangladesh",29,"Fantasy","Bangladesh  -  Fantasy"
"Bangladesh",3,"Film Noir","Bangladesh  -  Film Noir"
"Bangladesh",2,"Game Show","Bangladesh  -  Game Show"
"Bangladesh",2,"History","Bangladesh  -  History"
"Bangladesh",29,"Horror","Bangladesh  -  Horror"
"Bangladesh",2,"Music","Bangladesh  -  Music"
"Bangladesh",5,"Musical","Bangladesh  -  Musical"
"Bangladesh",101,"Mystery","Bangladesh  -  Mystery"
"Bangladesh",2,"Reality TV","Bangladesh  -  Reality TV"
"Bangladesh",99,"Romance","Bangladesh  -  Romance"
"Bangladesh",40,"Sci Fi","Bangladesh  -  Sci Fi"
"Bangladesh",1,"Sport","Bangladesh  -  Sport"
"Bangladesh",77,"Thriller","Bangladesh  -  Thriller"
"Bangladesh",2,"War","Bangladesh  -  War"
"Bangladesh",2,"Western","Bangladesh  -  Western"
"Belgium",214,"Action","Belgium  -  Action"
"Belgium",138,"Adventure","Belgium  -  Adventure"
"Belgium",53,"Animation","Belgium  -  Animation"
"Belgium",12,"Biography","Belgium  -  Biography"
"Belgium",184,"Comedy","Belgium  -  Comedy"
"Belgium",139,"Crime","Belgium  -  Crime"
"Belgium",23,"Documentary","Belgium  -  Documentary"
"Belgium",315,"Drama","Belgium  -  Drama"
"Belgium",20,"Family","Belgium  -  Family"
"Belgium",57,"Fantasy","Belgium  -  Fantasy"
"Belgium",3,"Film Noir","Belgium  -  Film Noir"
"Belgium",9,"Game Show","Belgium  -  Game Show"
"Belgium",2,"History","Belgium  -  History"
"Belgium",30,"Horror","Belgium  -  Horror"
"Belgium",10,"Music","Belgium  -  Music"
"Belgium",53,"Mystery","Belgium  -  Mystery"
"Belgium",13,"Reality TV","Belgium  -  Reality TV"
"Belgium",91,"Romance","Belgium  -  Romance"
"Belgium",31,"Sci Fi","Belgium  -  Sci Fi"
"Belgium",11,"Sport","Belgium  -  Sport"
"Belgium",63,"Thriller","Belgium  -  Thriller"
"Belgium",4,"War","Belgium  -  War"
"Belgium",4,"Western","Belgium  -  Western"
"Bolivia",163,"Action","Bolivia  -  Action"
"Bolivia",2,"Adult","Bolivia  -  Adult"
"Bolivia",136,"Adventure","Bolivia  -  Adventure"
"Bolivia",94,"Animation","Bolivia  -  Animation"
"Bolivia",1,"Biography","Bolivia  -  Biography"
"Bolivia",212,"Comedy","Bolivia  -  Comedy"
"Bolivia",89,"Crime","Bolivia  -  Crime"
"Bolivia",17,"Documentary","Bolivia  -  Documentary"
"Bolivia",275,"Drama","Bolivia  -  Drama"
"Bolivia",14,"Family","Bolivia  -  Family"
"Bolivia",29,"Fantasy","Bolivia  -  Fantasy"
"Bolivia",2,"Film Noir","Bolivia  -  Film Noir"
"Bolivia",29,"Horror","Bolivia  -  Horror"
"Bolivia",19,"Music","Bolivia  -  Music"
"Bolivia",47,"Mystery","Bolivia  -  Mystery"
"Bolivia",3,"Reality TV","Bolivia  -  Reality TV"
"Bolivia",112,"Romance","Bolivia  -  Romance"
"Bolivia",24,"Sci Fi","Bolivia  -  Sci Fi"
"Bolivia",5,"Sport","Bolivia  -  Sport"
"Bolivia",53,"Thriller","Bolivia  -  Thriller"
"Bolivia",2,"War","Bolivia  -  War"
"Bolivia",6,"Western","Bolivia  -  Western"
"Brazil",164,"Action","Brazil  -  Action"
"Brazil",1,"Adult","Brazil  -  Adult"
"Brazil",183,"Adventure","Brazil  -  Adventure"
"Brazil",69,"Animation","Brazil  -  Animation"
"Brazil",6,"Biography","Brazil  -  Biography"
"Brazil",218,"Comedy","Brazil  -  Comedy"
"Brazil",118,"Crime","Brazil  -  Crime"
"Brazil",19,"Documentary","Brazil  -  Documentary"
"Brazil",322,"Drama","Brazil  -  Drama"
"Brazil",101,"Family","Brazil  -  Family"
"Brazil",30,"Fantasy","Brazil  -  Fantasy"
"Brazil",3,"Film Noir","Brazil  -  Film Noir"
"Brazil",4,"Game Show","Brazil  -  Game Show"
"Brazil",31,"Horror","Brazil  -  Horror"
"Brazil",15,"Music","Brazil  -  Music"
"Brazil",22,"Musical","Brazil  -  Musical"
"Brazil",54,"Mystery","Brazil  -  Mystery"
"Brazil",11,"Reality TV","Brazil  -  Reality TV"
"Brazil",122,"Romance","Brazil  -  Romance"
"Brazil",23,"Sci Fi","Brazil  -  Sci Fi"
"Brazil",6,"Sport","Brazil  -  Sport"
"Brazil",69,"Thriller","Brazil  -  Thriller"
"Brazil",2,"War","Brazil  -  War"
"Brazil",5,"Western","Brazil  -  Western"
"Bulgaria",228,"Action","Bulgaria  -  Action"
"Bulgaria",132,"Adventure","Bulgaria  -  Adventure"
"Bulgaria",52,"Animation","Bulgaria  -  Animation"
"Bulgaria",10,"Biography","Bulgaria  -  Biography"
"Bulgaria",182,"Comedy","Bulgaria  -  Comedy"
"Bulgaria",131,"Crime","Bulgaria  -  Crime"
"Bulgaria",30,"Documentary","Bulgaria  -  Documentary"
