"label","n","parent","id"
"Action",18782,NA,"Action"
"Adult",29,NA,"Adult"
"Adventure",10834,NA,"Adventure"
"Animation",4516,NA,"Animation"
"Biography",800,NA,"Biography"
"Comedy",16745,NA,"Comedy"
"Crime",13109,NA,"Crime"
"Documentary",1985,NA,"Documentary"
"Drama",30474,NA,"Drama"
"Family",2152,NA,"Family"
"Fantasy",3464,NA,"Fantasy"
"Film Noir",295,NA,"Film Noir"
"Game Show",693,NA,"Game Show"
"History",281,NA,"History"
"Horror",2769,NA,"Horror"
"Music",961,NA,"Music"
"Musical",102,NA,"Musical"
"Mystery",5327,NA,"Mystery"
"News",1,NA,"News"
"Reality TV",1106,NA,"Reality TV"
"Romance",9364,NA,"Romance"
"Sci Fi",2761,NA,"Sci Fi"
"Short",10,NA,"Short"
"Sport",858,NA,"Sport"
"Talk Show",2,NA,"Talk Show"
"Thriller",6564,NA,"Thriller"
"War",354,NA,"War"
"Western",453,NA,"Western"
"Argentina",142,"Action","Action  -  Argentina"
"Argentina",101,"Adventure","Adventure  -  Argentina"
"Argentina",51,"Animation","Animation  -  Argentina"
"Argentina",7,"Biography","Biography  -  Argentina"
"Argentina",170,"Comedy","Comedy  -  Argentina"
"Argentina",133,"Crime","Crime  -  Argentina"
"Argentina",18,"Documentary","Documentary  -  Argentina"
"Argentina",367,"Drama","Drama  -  Argentina"
"Argentina",17,"Family","Family  -  Argentina"
"Argentina",28,"Fantasy","Fantasy  -  Argentina"
"Argentina",3,"Film Noir","Film Noir  -  Argentina"
"Argentina",2,"History","History  -  Argentina"
"Argentina",34,"Horror","Horror  -  Argentina"
"Argentina",35,"Music","Music  -  Argentina"
"Argentina",64,"Mystery","Mystery  -  Argentina"
"Argentina",108,"Romance","Romance  -  Argentina"
"Argentina",14,"Sci Fi","Sci Fi  -  Argentina"
"Argentina",13,"Sport","Sport  -  Argentina"
"Argentina",81,"Thriller","Thriller  -  Argentina"
"Argentina",3,"War","War  -  Argentina"
"Argentina",8,"Western","Western  -  Argentina"
"Australia",198,"Action","Action  -  Australia"
"Australia",1,"Adult","Adult  -  Australia"
"Australia",137,"Adventure","Adventure  -  Australia"
"Australia",53,"Animation","Animation  -  Australia"
"Australia",14,"Biography","Biography  -  Australia"
"Australia",193,"Comedy","Comedy  -  Australia"
"Australia",141,"Crime","Crime  -  Australia"
"Australia",37,"Documentary","Documentary  -  Australia"
"Australia",279,"Drama","Drama  -  Australia"
"Australia",41,"Family","Family  -  Australia"
"Australia",52,"Fantasy","Fantasy  -  Australia"
"Australia",3,"Film Noir","Film Noir  -  Australia"
"Australia",11,"Game Show","Game Show  -  Australia"
"Australia",5,"History","History  -  Australia"
"Australia",20,"Horror","Horror  -  Australia"
"Australia",1,"Music","Music  -  Australia"
"Australia",64,"Mystery","Mystery  -  Australia"
"Australia",30,"Reality TV","Reality TV  -  Australia"
"Australia",85,"Romance","Romance  -  Australia"
"Australia",48,"Sci Fi","Sci Fi  -  Australia"
"Australia",14,"Sport","Sport  -  Australia"
"Australia",69,"Thriller","Thriller  -  Australia"
"Australia",7,"War","War  -  Australia"
"Australia",6,"Western","Western  -  Australia"
"Austria",207,"Action","Action  -  Austria"
"Austria",128,"Adventure","Adventure  -  Austria"
"Austria",37,"Animation","Animation  -  Austria"
"Austria",13,"Biography","Biography  -  Austria"
"Austria",185,"Comedy","Comedy  -  Austria"
"Austria",156,"Crime","Crime  -  Austria"
"Austria",26,"Documentary","Documentary  -  Austria"
"Austria",322,"Drama","Drama  -  Austria"
"Austria",42,"Family","Family  -  Austria"
"Austria",60,"Fantasy","Fantasy  -  Austria"
"Austria",4,"Film Noir","Film Noir  -  Austria"
"Austria",9,"Game Show","Game Show  -  Austria"
"Austria",5,"History","History  -  Austria"
"Austria",38,"Horror","Horror  -  Austria"
"Austria",4,"Music","Music  -  Austria"
"Austria",62,"Mystery","Mystery  -  Austria"
"Austria",13,"Reality TV","Reality TV  -  Austria"
"Austria",87,"Romance","Romance  -  Austria"
"Austria",18,"Sci Fi","Sci Fi  -  Austria"
"Austria",17,"Sport","Sport  -  Austria"
"Austria",71,"Thriller","Thriller  -  Austria"
"Austria",4,"War","War  -  Austria"
"Austria",6,"Western","Western  -  Austria"
"Bahamas",177,"Action","Action  -  Bahamas"
"Bahamas",104,"Adventure","Adventure  -  Bahamas"
"Bahamas",76,"Animation","Animation  -  Bahamas"
"Bahamas",8,"Biography","Biography  -  Bahamas"
"Bahamas",179,"Comedy","Comedy  -  Bahamas"
"Bahamas",134,"Crime","Crime  -  Bahamas"
"Bahamas",21,"Documentary","Documentary  -  Bahamas"
"Bahamas",278,"Drama","Drama  -  Bahamas"
"Bahamas",52,"Family","Family  -  Bahamas"
"Bahamas",36,"Fantasy","Fantasy  -  Bahamas"
"Bahamas",2,"Film Noir","Film Noir  -  Bahamas"
"Bahamas",10,"Game Show","Game Show  -  Bahamas"
"Bahamas",34,"Horror","Horror  -  Bahamas"
"Bahamas",2,"Music","Music  -  Bahamas"
"Bahamas",50,"Mystery","Mystery  -  Bahamas"
"Bahamas",13,"Reality TV","Reality TV  -  Bahamas"
