"label","n","parent","id"
"total",134791,NA,"total"
"Action",18782,"total","total  -  Action"
"Adult",29,"total","total  -  Adult"
"Adventure",10834,"total","total  -  Adventure"
"Animation",4516,"total","total  -  Animation"
"Biography",800,"total","total  -  Biography"
"Comedy",16745,"total","total  -  Comedy"
"Crime",13109,"total","total  -  Crime"
"Documentary",1985,"total","total  -  Documentary"
"Drama",30474,"total","total  -  Drama"
"Family",2152,"total","total  -  Family"
"Fantasy",3464,"total","total  -  Fantasy"
"Film Noir",295,"total","total  -  Film Noir"
"Game Show",693,"total","total  -  Game Show"
"History",281,"total","total  -  History"
"Horror",2769,"total","total  -  Horror"
"Music",961,"total","total  -  Music"
"Musical",102,"total","total  -  Musical"
"Mystery",5327,"total","total  -  Mystery"
"News",1,"total","total  -  News"
"Reality TV",1106,"total","total  -  Reality TV"
"Romance",9364,"total","total  -  Romance"
"Sci Fi",2761,"total","total  -  Sci Fi"
"Short",10,"total","total  -  Short"
"Sport",858,"total","total  -  Sport"
"Talk Show",2,"total","total  -  Talk Show"
"Thriller",6564,"total","total  -  Thriller"
"War",354,"total","total  -  War"
"Western",453,"total","total  -  Western"
"Argentina",142,"total  -  Action","total  -  Action  -  Argentina"
"Argentina",101,"total  -  Adventure","total  -  Adventure  -  Argentina"
"Argentina",51,"total  -  Animation","total  -  Animation  -  Argentina"
"Argentina",7,"total  -  Biography","total  -  Biography  -  Argentina"
"Argentina",170,"total  -  Comedy","total  -  Comedy  -  Argentina"
"Argentina",133,"total  -  Crime","total  -  Crime  -  Argentina"
"Argentina",18,"total  -  Documentary","total  -  Documentary  -  Argentina"
"Argentina",367,"total  -  Drama","total  -  Drama  -  Argentina"
"Argentina",17,"total  -  Family","total  -  Family  -  Argentina"
"Argentina",28,"total  -  Fantasy","total  -  Fantasy  -  Argentina"
"Argentina",3,"total  -  Film Noir","total  -  Film Noir  -  Argentina"
"Argentina",2,"total  -  History","total  -  History  -  Argentina"
"Argentina",34,"total  -  Horror","total  -  Horror  -  Argentina"
"Argentina",35,"total  -  Music","total  -  Music  -  Argentina"
"Argentina",64,"total  -  Mystery","total  -  Mystery  -  Argentina"
"Argentina",108,"total  -  Romance","total  -  Romance  -  Argentina"
"Argentina",14,"total  -  Sci Fi","total  -  Sci Fi  -  Argentina"
"Argentina",13,"total  -  Sport","total  -  Sport  -  Argentina"
"Argentina",81,"total  -  Thriller","total  -  Thriller  -  Argentina"
"Argentina",3,"total  -  War","total  -  War  -  Argentina"
"Argentina",8,"total  -  Western","total  -  Western  -  Argentina"
"Australia",198,"total  -  Action","total  -  Action  -  Australia"
"Australia",1,"total  -  Adult","total  -  Adult  -  Australia"
"Australia",137,"total  -  Adventure","total  -  Adventure  -  Australia"
"Australia",53,"total  -  Animation","total  -  Animation  -  Australia"
"Australia",14,"total  -  Biography","total  -  Biography  -  Australia"
"Australia",193,"total  -  Comedy","total  -  Comedy  -  Australia"
"Australia",141,"total  -  Crime","total  -  Crime  -  Australia"
"Australia",37,"total  -  Documentary","total  -  Documentary  -  Australia"
"Australia",279,"total  -  Drama","total  -  Drama  -  Australia"
"Australia",41,"total  -  Family","total  -  Family  -  Australia"
"Australia",52,"total  -  Fantasy","total  -  Fantasy  -  Australia"
"Australia",3,"total  -  Film Noir","total  -  Film Noir  -  Australia"
"Australia",11,"total  -  Game Show","total  -  Game Show  -  Australia"
"Australia",5,"total  -  History","total  -  History  -  Australia"
"Australia",20,"total  -  Horror","total  -  Horror  -  Australia"
"Australia",1,"total  -  Music","total  -  Music  -  Australia"
"Australia",64,"total  -  Mystery","total  -  Mystery  -  Australia"
"Australia",30,"total  -  Reality TV","total  -  Reality TV  -  Australia"
"Australia",85,"total  -  Romance","total  -  Romance  -  Australia"
"Australia",48,"total  -  Sci Fi","total  -  Sci Fi  -  Australia"
"Australia",14,"total  -  Sport","total  -  Sport  -  Australia"
"Australia",69,"total  -  Thriller","total  -  Thriller  -  Australia"
"Australia",7,"total  -  War","total  -  War  -  Australia"
"Australia",6,"total  -  Western","total  -  Western  -  Australia"
"Austria",207,"total  -  Action","total  -  Action  -  Austria"
"Austria",128,"total  -  Adventure","total  -  Adventure  -  Austria"
"Austria",37,"total  -  Animation","total  -  Animation  -  Austria"
"Austria",13,"total  -  Biography","total  -  Biography  -  Austria"
"Austria",185,"total  -  Comedy","total  -  Comedy  -  Austria"
"Austria",156,"total  -  Crime","total  -  Crime  -  Austria"
"Austria",26,"total  -  Documentary","total  -  Documentary  -  Austria"
"Austria",322,"total  -  Drama","total  -  Drama  -  Austria"
"Austria",42,"total  -  Family","total  -  Family  -  Austria"
"Austria",60,"total  -  Fantasy","total  -  Fantasy  -  Austria"
"Austria",4,"total  -  Film Noir","total  -  Film Noir  -  Austria"
"Austria",9,"total  -  Game Show","total  -  Game Show  -  Austria"
"Austria",5,"total  -  History","total  -  History  -  Austria"
"Austria",38,"total  -  Horror","total  -  Horror  -  Austria"
"Austria",4,"total  -  Music","total  -  Music  -  Austria"
"Austria",62,"total  -  Mystery","total  -  Mystery  -  Austria"
"Austria",13,"total  -  Reality TV","total  -  Reality TV  -  Austria"
"Austria",87,"total  -  Romance","total  -  Romance  -  Austria"
"Austria",18,"total  -  Sci Fi","total  -  Sci Fi  -  Austria"
"Austria",17,"total  -  Sport","total  -  Sport  -  Austria"
"Austria",71,"total  -  Thriller","total  -  Thriller  -  Austria"
"Austria",4,"total  -  War","total  -  War  -  Austria"
"Austria",6,"total  -  Western","total  -  Western  -  Austria"
"Bahamas",177,"total  -  Action","total  -  Action  -  Bahamas"
"Bahamas",104,"total  -  Adventure","total  -  Adventure  -  Bahamas"
"Bahamas",76,"total  -  Animation","total  -  Animation  -  Bahamas"
"Bahamas",8,"total  -  Biography","total  -  Biography  -  Bahamas"
