"id","n","label","parent"
"total",120441,NA,NA
"total",453,"total","total"
"total  -  Action",18782,"Action","total"
"total  -  Adventure",10834,"Adventure","total"
"total  -  Animation",3874,"Animation","total"
"total  -  Comedy",16745,"Comedy","total"
"total  -  Crime",13109,"Crime","total"
"total  -  Documentary",167,"Documentary","total"
"total  -  Drama",30474,"Drama","total"
"total  -  Family",365,"Family","total"
"total  -  Fantasy",2290,"Fantasy","total"
"total  -  Horror",631,"Horror","total"
"total  -  Music",358,"Music","total"
"total  -  Mystery",5327,"Mystery","total"
"total  -  Romance",9364,"Romance","total"
"total  -  Sci Fi",1104,"Sci Fi","total"
"total  -  Thriller",6564,"Thriller","total"
"total  -  Western",453,"Western","total"
"total  -  Action  -  Argentina",142,"Argentina","total  -  Action"
"total  -  Adventure  -  Argentina",101,"Argentina","total  -  Adventure"
"total  -  Animation  -  Argentina",51,"Argentina","total  -  Animation"
"total  -  Comedy  -  Argentina",170,"Argentina","total  -  Comedy"
"total  -  Crime  -  Argentina",133,"Argentina","total  -  Crime"
"total  -  Drama  -  Argentina",367,"Argentina","total  -  Drama"
"total  -  Music  -  Argentina",35,"Argentina","total  -  Music"
"total  -  Mystery  -  Argentina",64,"Argentina","total  -  Mystery"
"total  -  Romance  -  Argentina",108,"Argentina","total  -  Romance"
"total  -  Thriller  -  Argentina",81,"Argentina","total  -  Thriller"
"total  -  Action  -  Australia",198,"Australia","total  -  Action"
"total  -  Adventure  -  Australia",137,"Australia","total  -  Adventure"
"total  -  Animation  -  Australia",53,"Australia","total  -  Animation"
"total  -  Comedy  -  Australia",193,"Australia","total  -  Comedy"
"total  -  Crime  -  Australia",141,"Australia","total  -  Crime"
"total  -  Drama  -  Australia",279,"Australia","total  -  Drama"
"total  -  Fantasy  -  Australia",52,"Australia","total  -  Fantasy"
"total  -  Mystery  -  Australia",64,"Australia","total  -  Mystery"
"total  -  Romance  -  Australia",85,"Australia","total  -  Romance"
"total  -  Thriller  -  Australia",69,"Australia","total  -  Thriller"
"total  -  Action  -  Austria",207,"Austria","total  -  Action"
"total  -  Adventure  -  Austria",128,"Austria","total  -  Adventure"
"total  -  Comedy  -  Austria",185,"Austria","total  -  Comedy"
"total  -  Crime  -  Austria",156,"Austria","total  -  Crime"
"total  -  Drama  -  Austria",322,"Austria","total  -  Drama"
"total  -  Family  -  Austria",42,"Austria","total  -  Family"
"total  -  Fantasy  -  Austria",60,"Austria","total  -  Fantasy"
"total  -  Mystery  -  Austria",62,"Austria","total  -  Mystery"
"total  -  Romance  -  Austria",87,"Austria","total  -  Romance"
"total  -  Thriller  -  Austria",71,"Austria","total  -  Thriller"
"total  -  Action  -  Bahamas",177,"Bahamas","total  -  Action"
"total  -  Adventure  -  Bahamas",104,"Bahamas","total  -  Adventure"
"total  -  Animation  -  Bahamas",76,"Bahamas","total  -  Animation"
"total  -  Comedy  -  Bahamas",179,"Bahamas","total  -  Comedy"
"total  -  Crime  -  Bahamas",134,"Bahamas","total  -  Crime"
"total  -  Drama  -  Bahamas",278,"Bahamas","total  -  Drama"
"total  -  Family  -  Bahamas",52,"Bahamas","total  -  Family"
"total  -  Mystery  -  Bahamas",50,"Bahamas","total  -  Mystery"
"total  -  Romance  -  Bahamas",74,"Bahamas","total  -  Romance"
"total  -  Thriller  -  Bahamas",103,"Bahamas","total  -  Thriller"
"total  -  Action  -  Bahrain",217,"Bahrain","total  -  Action"
"total  -  Adventure  -  Bahrain",114,"Bahrain","total  -  Adventure"
"total  -  Comedy  -  Bahrain",156,"Bahrain","total  -  Comedy"
"total  -  Crime  -  Bahrain",147,"Bahrain","total  -  Crime"
"total  -  Drama  -  Bahrain",339,"Bahrain","total  -  Drama"
"total  -  Fantasy  -  Bahrain",39,"Bahrain","total  -  Fantasy"
"total  -  Horror  -  Bahrain",36,"Bahrain","total  -  Horror"
"total  -  Mystery  -  Bahrain",57,"Bahrain","total  -  Mystery"
"total  -  Romance  -  Bahrain",88,"Bahrain","total  -  Romance"
"total  -  Thriller  -  Bahrain",80,"Bahrain","total  -  Thriller"
"total  -  Action  -  Bangladesh",243,"Bangladesh","total  -  Action"
"total  -  Adventure  -  Bangladesh",91,"Bangladesh","total  -  Adventure"
"total  -  Animation  -  Bangladesh",31,"Bangladesh","total  -  Animation"
"total  -  Comedy  -  Bangladesh",183,"Bangladesh","total  -  Comedy"
